iter	Passed	Remaining
0	0	362
1	0	337
2	1	359
3	1	357
4	1	362
5	2	355
6	2	344
7	2	332
8	2	330
9	3	334
10	3	337
11	4	339
12	4	336
13	4	337
14	5	341
15	5	348
16	6	350
17	6	352
18	6	349
19	7	347
20	7	345
21	7	345
22	8	347
23	8	345
24	8	342
25	9	337
26	9	335
27	9	334
28	9	333
29	10	333
30	10	331
31	10	330
32	11	329
33	11	330
34	11	328
35	12	327
36	12	326
37	12	326
38	13	329
39	13	329
40	14	329
41	14	329
42	14	329
43	15	328
44	15	325
45	15	324
46	15	322
47	16	320
48	16	320
49	16	320
50	17	320
51	17	319
52	17	317
53	18	315
54	18	314
55	18	313
56	18	312
57	19	311
58	19	311
59	19	310
60	20	310
61	20	310
62	20	311
63	21	312
64	21	313
65	22	312
66	22	312
67	22	311
68	23	312
69	23	311
70	23	312
71	24	311
72	24	311
73	24	310
74	25	310
75	25	308
76	25	308
77	26	308
78	26	308
79	26	307
80	27	306
81	27	306
82	27	305
83	27	304
84	28	304
85	28	304
86	28	303
87	29	303
88	29	302
89	29	302
90	30	302
91	30	301
92	30	301
93	31	301
94	31	300
95	31	299
96	32	299
97	32	299
98	32	298
99	33	297
100	33	297
101	33	297
102	34	297
103	34	296
104	34	296
105	35	296
106	35	296
107	35	295
108	36	295
109	36	295
110	37	296
111	37	297
112	37	296
113	38	296
114	38	295
115	38	294
116	38	293
117	39	293
118	39	292
119	39	292
120	40	292
121	40	291
122	40	291
123	41	290
124	41	289
125	41	289
126	41	288
127	42	287
128	42	287
129	42	287
130	43	286
131	43	285
132	43	284
133	44	284
134	44	284
135	44	283
136	44	283
137	45	282
138	45	282
139	45	282
140	46	281
141	46	281
142	46	280
143	47	280
144	47	280
145	47	279
146	48	279
147	48	278
148	48	278
149	49	278
150	49	278
151	49	278
152	50	278
153	50	277
154	51	278
155	51	278
156	51	278
157	52	278
158	52	279
159	53	280
160	53	280
161	54	281
162	54	281
163	55	281
164	55	281
165	55	280
166	56	280
167	56	280
168	56	279
169	57	279
170	57	279
171	57	278
172	58	278
173	58	277
174	58	277
175	59	276
176	59	276
177	59	275
178	60	275
179	60	274
180	60	274
181	60	273
182	61	273
183	61	272
184	61	272
185	62	271
186	62	271
187	62	270
188	62	269
189	63	269
190	63	268
191	63	268
192	64	268
193	64	268
194	64	267
195	65	266
196	65	266
197	65	266
198	66	266
199	66	266
200	66	265
201	67	265
202	67	264
203	67	264
204	68	264
205	68	263
206	68	263
207	69	263
208	69	263
209	70	263
210	70	263
211	70	262
212	71	262
213	71	262
214	71	261
215	72	261
216	72	260
217	72	260
218	72	260
219	73	259
220	73	259
221	73	259
222	74	258
223	74	258
224	74	258
225	75	257
226	75	257
227	75	256
228	76	256
229	76	256
230	76	255
231	77	255
232	77	254
233	77	254
234	77	253
235	78	253
236	78	252
237	78	252
238	79	252
239	79	251
240	79	251
241	80	250
242	80	250
243	80	249
244	80	249
245	81	249
246	81	248
247	81	248
248	82	248
249	82	248
250	83	247
251	83	247
252	83	247
253	83	246
254	84	246
255	84	246
256	85	245
257	85	245
258	85	245
259	86	245
260	86	245
261	87	245
262	87	244
263	87	244
264	87	243
265	88	243
266	88	242
267	88	242
268	89	242
269	89	241
270	89	240
271	89	240
272	90	240
273	90	239
274	90	239
275	91	238
276	91	238
277	91	238
278	92	237
279	92	237
280	92	236
281	92	236
282	93	236
283	93	235
284	93	235
285	94	234
286	94	234
287	94	233
288	94	233
289	95	232
290	95	232
291	95	232
292	96	231
293	96	231
294	96	231
295	97	230
296	97	230
297	97	229
298	97	229
299	98	229
300	98	229
301	99	228
302	99	228
303	99	228
304	100	228
305	100	227
306	100	227
307	101	227
308	101	227
309	102	228
310	103	228
311	103	229
312	104	228
313	104	228
314	104	228
315	105	227
316	105	227
317	105	227
318	106	226
319	106	226
320	106	225
321	107	225
322	107	225
323	107	224
324	107	224
325	108	223
326	108	223
327	108	223
328	109	222
329	109	222
330	109	221
331	110	221
332	110	220
333	110	220
334	110	220
335	111	219
336	111	219
337	111	219
338	112	218
339	112	218
340	112	218
341	113	218
342	113	217
343	114	217
344	114	217
345	114	216
346	114	216
347	115	215
348	115	215
349	115	215
350	116	215
351	116	214
352	117	214
353	117	214
354	117	213
355	118	213
356	118	213
357	118	212
358	118	212
359	119	211
360	119	211
361	119	211
362	120	210
363	120	210
364	120	209
365	121	209
366	121	209
367	121	208
368	121	208
369	122	208
370	122	207
371	122	207
372	123	207
373	123	206
374	123	206
375	124	206
376	124	205
377	124	205
378	124	204
379	125	204
380	125	204
381	126	203
382	126	203
383	126	203
384	126	202
385	127	202
386	127	202
387	127	201
388	128	201
389	128	201
390	129	201
391	129	201
392	130	200
393	130	200
394	130	200
395	131	199
396	131	199
397	131	199
398	131	198
399	132	198
400	132	198
401	133	197
402	133	197
403	133	197
404	134	197
405	134	196
406	134	196
407	135	196
408	135	195
409	135	195
410	136	194
411	136	194
412	136	194
413	136	193
414	137	193
415	137	192
416	137	192
417	138	192
418	138	191
419	138	191
420	139	191
421	139	190
422	139	190
423	139	190
424	140	189
425	140	189
426	140	189
427	141	188
428	141	188
429	141	187
430	142	187
431	142	187
432	142	186
433	142	186
434	143	185
435	143	185
436	143	184
437	143	184
438	144	184
439	144	183
440	144	183
441	145	183
442	145	183
443	146	182
444	146	182
445	146	182
446	146	181
447	147	181
448	147	180
449	147	180
450	148	180
451	148	179
452	148	179
453	149	179
454	149	178
455	149	178
456	149	178
457	150	177
458	150	177
459	150	176
460	151	176
461	151	176
462	151	176
463	152	175
464	152	175
465	152	175
466	153	174
467	153	174
468	153	174
469	154	173
470	154	173
471	154	173
472	155	172
473	155	172
474	155	172
475	156	171
476	156	171
477	156	171
478	157	170
479	157	170
480	157	170
481	157	169
482	158	169
483	158	169
484	158	168
485	159	168
486	159	168
487	159	167
488	160	167
489	160	167
490	160	166
491	161	166
492	161	166
493	161	165
494	162	165
495	162	165
496	163	164
497	163	164
498	163	164
499	164	164
500	164	163
501	164	163
502	165	163
503	165	163
504	166	162
505	166	162
506	166	161
507	166	161
508	167	161
509	167	161
510	168	160
511	168	160
512	168	160
513	169	159
514	169	159
515	169	159
516	170	158
517	170	158
518	170	158
519	170	157
520	171	157
521	171	157
522	171	156
523	172	156
524	172	156
525	172	155
526	173	155
527	173	155
528	173	154
529	173	154
530	174	153
531	174	153
532	174	153
533	175	152
534	175	152
535	175	152
536	176	151
537	176	151
538	176	151
539	177	150
540	177	150
541	177	150
542	177	149
543	178	149
544	178	149
545	178	148
546	179	148
547	179	147
548	179	147
549	179	147
550	180	146
551	180	146
552	180	146
553	181	145
554	181	145
555	182	145
556	182	145
557	182	144
558	183	144
559	183	144
560	183	143
561	183	143
562	184	142
563	184	142
564	184	142
565	185	141
566	185	141
567	185	141
568	185	140
569	186	140
570	186	140
571	186	139
572	187	139
573	187	139
574	187	138
575	187	138
576	188	137
577	188	137
578	188	137
579	189	136
580	189	136
581	189	136
582	189	135
583	190	135
584	190	135
585	190	134
586	191	134
587	191	134
588	191	133
589	192	133
590	192	133
591	192	132
592	193	132
593	193	132
594	193	132
595	194	131
596	194	131
597	194	131
598	195	130
599	195	130
600	195	130
601	196	129
602	196	129
603	196	129
604	197	128
605	197	128
606	198	128
607	198	128
608	198	127
609	199	127
610	199	127
611	200	126
612	200	126
613	200	126
614	200	125
615	201	125
616	201	125
617	201	124
618	202	124
619	202	124
